time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20181106:0200,10.61,86.05,0.0,-0.0,0.0,322.6,2.9,175.0,100310.0
20181106:0300,10.45,83.0,0.0,-0.0,0.0,315.65,2.76,169.0,100280.0
20181106:0400,10.1,86.0,0.0,-0.0,0.0,312.75,2.76,154.0,100280.0
20181106:0500,9.95,86.0,0.0,-0.0,0.0,317.0,2.69,151.0,100300.0
20181106:0600,9.81,89.15,0.0,-0.0,0.0,315.85,2.69,156.0,100290.0
20181106:0700,11.1,83.05,0.0,0.0,0.0,316.6,4.14,157.0,100310.0
20181106:0800,12.19,77.35,149.0,540.89,50.0,315.25,4.0,151.0,100310.0
20181106:0900,13.78,74.85,219.0,387.13,108.0,302.65,3.66,149.0,100290.0
20181106:1000,15.71,72.55,319.0,631.48,94.0,306.55,3.31,146.0,100270.0
20181106:1100,17.38,67.85,300.0,366.91,158.0,306.95,3.52,145.0,100270.0
20181106:1200,18.2,65.65,289.0,352.99,156.0,323.2,3.31,147.0,100260.0
20181106:1300,18.4,65.65,194.0,134.85,150.0,337.1,3.52,164.0,100250.0
20181106:1400,18.25,63.4,120.0,75.32,102.0,343.5,3.24,169.0,100240.0
20181106:1500,17.35,65.45,88.0,430.45,36.0,347.75,3.1,162.0,100230.0
20181106:1600,15.8,70.0,0.0,-0.0,0.0,330.75,3.17,153.0,100260.0
20181106:1700,14.58,75.0,0.0,-0.0,0.0,320.85,3.38,152.0,100270.0
20181106:1800,14.0,74.95,0.0,-0.0,0.0,317.4,3.72,160.0,100310.0
20181106:1900,14.36,74.95,0.0,-0.0,0.0,327.45,4.07,174.0,100280.0
20181106:2000,14.08,69.75,0.0,-0.0,0.0,323.95,4.07,183.0,100320.0
20181106:2100,13.28,69.55,0.0,-0.0,0.0,314.5,4.0,180.0,100350.0
20181106:2200,12.56,69.45,0.0,-0.0,0.0,313.9,3.93,173.0,100360.0
20181106:2300,12.05,69.35,0.0,-0.0,0.0,319.5,3.86,168.0,100310.0
20181107:0000,11.78,71.85,0.0,-0.0,0.0,318.95,4.21,173.0,100340.0
20181107:0100,11.52,71.85,0.0,-0.0,0.0,317.1,4.07,170.0,100340.0
20181107:0200,10.89,77.15,0.0,-0.0,0.0,297.05,4.21,166.0,100310.0
20181107:0300,10.37,79.95,0.0,-0.0,0.0,282.55,4.41,166.0,100270.0
20181107:0400,10.14,77.1,0.0,-0.0,0.0,275.75,4.76,167.0,100230.0
20181107:0500,10.17,77.1,0.0,-0.0,0.0,276.75,5.03,168.0,100210.0
20181107:0600,10.3,77.1,0.0,-0.0,0.0,286.2,5.31,164.0,100210.0
20181107:0700,10.16,79.95,0.0,0.0,0.0,282.15,5.31,165.0,100230.0
20181107:0800,10.85,77.15,58.0,5.61,57.0,292.6,5.24,168.0,100270.0
20181107:0900,11.86,74.55,40.0,0.0,40.0,309.05,5.24,168.0,100250.0
20181107:1000,12.64,72.05,121.0,5.69,119.0,319.3,4.48,169.0,100280.0
20181107:1100,13.23,69.55,114.0,0.0,114.0,338.3,4.9,170.0,100310.0
20181107:1200,13.42,69.55,113.0,0.0,113.0,354.75,5.1,179.0,100310.0
20181107:1300,12.75,74.7,69.0,0.0,69.0,364.2,5.66,181.0,100310.0
20181107:1400,12.5,77.45,64.0,0.0,64.0,352.2,5.52,179.0,100360.0
20181107:1500,12.44,80.2,21.0,0.0,21.0,334.8,5.38,181.0,100430.0
20181107:1600,12.24,80.2,0.0,-0.0,0.0,325.3,5.17,177.0,100480.0
20181107:1700,12.07,80.2,0.0,-0.0,0.0,323.55,5.17,175.0,100520.0
20181107:1800,11.96,80.15,0.0,-0.0,0.0,319.3,5.31,177.0,100590.0
20181107:1900,11.51,83.1,0.0,-0.0,0.0,307.5,5.1,190.0,100660.0
20181107:2000,11.41,86.1,0.0,-0.0,0.0,310.8,4.76,189.0,100730.0
20181107:2100,11.21,86.1,0.0,-0.0,0.0,309.05,4.48,187.0,100810.0
20181107:2200,10.98,83.05,0.0,-0.0,0.0,307.7,4.34,184.0,100870.0
20181107:2300,10.56,86.05,0.0,-0.0,0.0,295.1,4.28,183.0,100920.0
20181108:0000,10.22,89.2,0.0,-0.0,0.0,292.4,4.34,188.0,100990.0
20181108:0100,10.38,89.2,0.0,-0.0,0.0,324.65,4.34,198.0,101060.0
20181108:0200,10.43,89.2,0.0,-0.0,0.0,339.85,4.14,206.0,101150.0
20181108:0300,10.44,89.2,0.0,-0.0,0.0,348.15,4.07,212.0,101240.0
20181108:0400,10.13,89.2,0.0,-0.0,0.0,328.0,4.14,220.0,101360.0
20181108:0500,9.5,89.15,0.0,-0.0,0.0,299.0,4.0,226.0,101460.0
20181108:0600,8.8,95.85,0.0,-0.0,0.0,285.45,3.59,226.0,101550.0
20181108:0700,7.65,92.4,11.0,23.09,10.0,261.25,3.17,215.0,101720.0
20181108:0800,7.82,92.4,147.0,587.08,45.0,257.75,2.97,212.0,101800.0
20181108:0900,8.98,85.95,256.0,685.38,66.0,258.95,2.9,206.0,101850.0
20181108:1000,10.23,82.95,330.0,718.21,81.0,260.85,2.97,198.0,101840.0
20181108:1100,11.35,77.2,359.0,702.1,94.0,264.35,2.97,187.0,101870.0
20181108:1200,12.13,69.35,349.0,710.48,88.0,267.45,2.83,180.0,101830.0
20181108:1300,12.53,64.55,296.0,693.72,76.0,269.4,2.55,175.0,101820.0
20181108:1400,12.51,64.55,166.0,308.45,95.0,272.65,2.34,157.0,101770.0
20181108:1500,11.91,69.25,79.0,373.52,37.0,268.4,2.28,136.0,101750.0
20181108:1600,10.4,77.1,0.0,-0.0,0.0,266.3,2.62,131.0,101730.0
20181108:1700,9.12,79.85,0.0,-0.0,0.0,262.4,2.55,126.0,101740.0
20181108:1800,8.17,79.75,0.0,-0.0,0.0,261.25,2.41,111.0,101720.0
20181108:1900,7.63,82.7,0.0,-0.0,0.0,262.4,2.83,100.0,101670.0
20181108:2000,7.44,82.7,0.0,-0.0,0.0,266.65,2.97,100.0,101610.0
20181108:2100,7.31,85.8,0.0,-0.0,0.0,270.35,3.03,103.0,101580.0
20181108:2200,7.22,85.8,0.0,-0.0,0.0,276.55,2.97,109.0,101530.0
20181108:2300,7.24,85.8,0.0,-0.0,0.0,287.0,2.97,111.0,101470.0
20181109:0000,7.31,85.8,0.0,-0.0,0.0,293.4,2.9,109.0,101410.0
20181109:0100,7.41,89.0,0.0,-0.0,0.0,301.45,2.83,110.0,101320.0
20181109:0200,7.62,85.85,0.0,-0.0,0.0,310.8,2.76,114.0,101280.0
20181109:0300,7.82,89.05,0.0,-0.0,0.0,330.15,2.83,116.0,101210.0
20181109:0400,7.82,89.05,0.0,-0.0,0.0,320.3,2.62,121.0,101170.0
20181109:0500,7.76,89.05,0.0,-0.0,0.0,315.45,2.41,124.0,101120.0
20181109:0600,7.32,92.35,0.0,-0.0,0.0,292.4,2.48,133.0,101110.0
20181109:0700,6.37,92.3,8.0,0.0,8.0,274.2,2.34,149.0,101080.0
20181109:0800,6.93,89.0,82.0,76.85,69.0,272.65,2.41,161.0,101080.0
20181109:0900,8.57,92.4,130.0,51.37,116.0,273.65,2.48,167.0,101090.0
20181109:1000,10.34,89.2,241.0,254.41,154.0,277.9,2.76,164.0,101040.0
20181109:1100,11.93,86.15,180.0,45.61,163.0,281.75,3.17,160.0,100950.0
20181109:1200,13.14,77.5,169.0,38.59,155.0,292.2,3.45,161.0,100890.0
20181109:1300,13.76,77.6,170.0,89.55,142.0,307.9,3.24,162.0,100820.0
20181109:1400,13.8,77.6,192.0,579.86,61.0,313.3,3.38,167.0,100760.0
20181109:1500,13.41,80.35,73.0,341.31,36.0,309.65,3.59,166.0,100730.0
20181109:1600,12.65,80.3,0.0,-0.0,0.0,320.5,3.59,162.0,100670.0
20181109:1700,11.8,86.15,0.0,-0.0,0.0,302.85,3.66,168.0,100670.0
20181109:1800,11.25,89.3,0.0,-0.0,0.0,294.35,4.0,166.0,100630.0
20181109:1900,10.45,89.25,0.0,-0.0,0.0,284.3,4.07,164.0,100560.0
20181109:2000,10.65,89.25,0.0,-0.0,0.0,300.15,4.34,167.0,100500.0
20181109:2100,11.01,89.3,0.0,-0.0,0.0,311.75,4.76,165.0,100390.0
20181109:2200,11.28,89.3,0.0,-0.0,0.0,311.75,5.31,160.0,100260.0
20181109:2300,11.6,86.15,0.0,-0.0,0.0,317.55,5.38,164.0,100200.0
20181110:0000,11.81,86.15,0.0,-0.0,0.0,317.2,5.59,167.0,100110.0
20181110:0100,12.13,83.15,0.0,-0.0,0.0,325.45,5.79,172.0,100040.0
20181110:0200,12.43,83.15,0.0,-0.0,0.0,334.6,5.93,175.0,99970.0
20181110:0300,12.61,80.3,0.0,-0.0,0.0,342.15,6.14,177.0,99880.0
20181110:0400,12.32,83.15,0.0,-0.0,0.0,341.4,6.34,182.0,99810.0
20181110:0500,11.6,86.15,0.0,-0.0,0.0,348.35,6.55,187.0,99800.0
20181110:0600,11.31,89.3,0.0,-0.0,0.0,357.65,6.55,191.0,99800.0
20181110:0700,11.63,86.15,2.0,0.0,2.0,361.5,6.55,193.0,99800.0
20181110:0800,11.93,86.15,33.0,0.0,33.0,362.85,6.21,195.0,99890.0
20181110:0900,12.26,83.15,41.0,0.0,41.0,360.75,5.59,193.0,99900.0
20181110:1000,12.92,83.25,51.0,0.0,51.0,354.95,5.24,189.0,99930.0
20181110:1100,13.03,80.35,39.0,0.0,39.0,352.4,5.17,185.0,99930.0
20181110:1200,12.23,89.35,71.0,0.0,71.0,356.65,5.66,188.0,99930.0
20181110:1300,11.79,92.55,31.0,0.0,31.0,359.4,4.69,186.0,99910.0
20181110:1400,11.84,92.55,52.0,0.0,52.0,353.0,4.41,186.0,99850.0
20181110:1500,11.77,89.3,37.0,28.72,34.0,349.5,4.41,190.0,99860.0
20181110:1600,11.61,89.3,0.0,-0.0,0.0,341.0,4.28,192.0,99880.0
20181110:1700,11.18,92.55,0.0,-0.0,0.0,314.3,4.21,193.0,99910.0
20181110:1800,10.97,89.3,0.0,-0.0,0.0,308.65,4.21,191.0,99940.0
20181110:1900,10.95,95.9,0.0,-0.0,0.0,312.15,3.93,190.0,99910.0
20181110:2000,10.88,95.9,0.0,-0.0,0.0,308.85,4.14,188.0,99920.0
20181110:2100,10.95,92.55,0.0,-0.0,0.0,307.1,4.41,187.0,99910.0
20181110:2200,11.26,92.55,0.0,-0.0,0.0,320.5,4.97,188.0,99960.0
20181110:2300,11.39,92.55,0.0,-0.0,0.0,319.3,5.1,187.0,99960.0
20181111:0000,11.49,89.3,0.0,-0.0,0.0,341.0,5.45,190.0,99950.0
20181111:0100,11.12,89.3,0.0,-0.0,0.0,345.55,5.52,194.0,99930.0
20181111:0200,11.31,89.3,0.0,-0.0,0.0,342.95,5.86,193.0,99970.0
20181111:0300,11.22,89.3,0.0,-0.0,0.0,328.6,6.07,193.0,99950.0
20181111:0400,10.97,86.1,0.0,-0.0,0.0,315.25,6.14,195.0,99970.0
20181111:0500,11.23,89.3,0.0,-0.0,0.0,345.85,6.0,190.0,99940.0
20181111:0600,11.32,89.3,0.0,-0.0,0.0,338.85,6.21,191.0,99970.0
20181111:0700,11.3,89.3,1.0,0.0,1.0,344.3,6.0,196.0,99970.0
20181111:0800,11.51,86.15,104.0,262.32,62.0,336.35,6.0,198.0,100050.0
20181111:0900,12.22,83.15,105.0,18.99,100.0,320.1,6.28,202.0,100120.0
20181111:1000,13.04,77.5,149.0,33.06,138.0,329.75,6.28,204.0,100160.0
20181111:1100,13.55,77.6,88.0,0.0,88.0,336.55,6.07,204.0,100230.0
20181111:1200,13.07,80.35,76.0,0.0,76.0,342.95,6.34,207.0,100240.0
20181111:1300,12.28,89.35,132.0,29.61,123.0,344.65,5.86,206.0,100270.0
20181111:1400,12.03,86.2,83.0,18.38,79.0,346.6,5.38,207.0,100340.0
20181111:1500,11.83,89.3,34.0,19.88,32.0,350.3,4.83,206.0,100380.0
20181111:1600,11.43,89.3,0.0,-0.0,0.0,331.5,4.34,205.0,100470.0
20181111:1700,10.94,92.5,0.0,-0.0,0.0,310.2,3.93,205.0,100560.0
20181111:1800,10.75,92.5,0.0,-0.0,0.0,318.55,3.45,204.0,100610.0
20181111:1900,11.3,89.3,0.0,-0.0,0.0,327.05,3.93,206.0,100630.0
20181111:2000,10.88,92.5,0.0,-0.0,0.0,309.85,3.52,204.0,100700.0
20181111:2100,10.53,92.5,0.0,-0.0,0.0,304.6,3.31,200.0,100790.0
20181111:2200,10.51,92.5,0.0,-0.0,0.0,319.7,3.1,195.0,100850.0
20181111:2300,10.4,95.9,0.0,-0.0,0.0,318.95,2.9,188.0,100860.0
20181112:0000,10.22,95.9,0.0,-0.0,0.0,314.1,2.69,183.0,100880.0
20181112:0100,10.12,95.9,0.0,-0.0,0.0,318.25,2.55,181.0,100890.0
20181112:0200,10.14,95.9,0.0,-0.0,0.0,326.5,2.48,177.0,100910.0
20181112:0300,10.27,95.9,0.0,-0.0,0.0,331.9,2.55,177.0,100950.0
20181112:0400,10.42,99.4,0.0,-0.0,0.0,336.95,2.41,171.0,100930.0
20181112:0500,10.51,95.9,0.0,-0.0,0.0,340.6,2.14,162.0,100900.0
20181112:0600,10.5,95.9,0.0,-0.0,0.0,341.55,2.0,151.0,100870.0
20181112:0700,10.47,95.9,1.0,0.0,1.0,344.85,1.72,168.0,100950.0
20181112:0800,10.28,99.4,23.0,0.0,23.0,338.85,1.1,165.0,100960.0
20181112:0900,10.72,99.4,20.0,0.0,20.0,326.1,0.9,207.0,101020.0
20181112:1000,11.32,95.9,69.0,0.0,69.0,343.3,1.17,224.0,101060.0
20181112:1100,11.94,92.55,48.0,0.0,48.0,346.4,1.59,220.0,101120.0
20181112:1200,12.04,89.35,217.0,157.42,162.0,347.2,2.14,216.0,101130.0
20181112:1300,12.08,89.35,111.0,10.01,108.0,341.95,2.21,207.0,101120.0
20181112:1400,12.53,86.25,52.0,0.0,52.0,316.0,2.48,211.0,101170.0
20181112:1500,12.01,86.2,46.0,103.23,36.0,315.05,2.41,208.0,101230.0
20181112:1600,11.23,89.3,0.0,-0.0,0.0,320.85,2.55,200.0,101300.0
20181112:1700,10.45,92.5,0.0,-0.0,0.0,307.3,2.76,191.0,101350.0
20181112:1800,9.99,92.5,0.0,-0.0,0.0,303.65,3.03,187.0,101400.0
20181112:1900,9.75,92.45,0.0,-0.0,0.0,318.15,3.17,189.0,101480.0
20181112:2000,9.57,92.45,0.0,-0.0,0.0,312.75,3.31,188.0,101510.0
20181112:2100,9.32,92.45,0.0,-0.0,0.0,304.2,3.38,188.0,101520.0
20181112:2200,9.15,92.45,0.0,-0.0,0.0,301.7,3.52,189.0,101550.0
20181112:2300,9.18,92.45,0.0,-0.0,0.0,307.3,3.66,192.0,101560.0
20181113:0000,9.3,92.45,0.0,-0.0,0.0,312.15,3.72,195.0,101570.0
20181113:0100,9.4,92.45,0.0,-0.0,0.0,313.8,3.93,197.0,101560.0
20181113:0200,9.53,89.15,0.0,-0.0,0.0,315.25,4.21,200.0,101600.0
20181113:0300,9.56,92.45,0.0,-0.0,0.0,311.0,4.28,206.0,101580.0
20181113:0400,9.38,92.45,0.0,-0.0,0.0,296.1,4.48,212.0,101600.0
20181113:0500,9.19,92.45,0.0,-0.0,0.0,287.2,4.76,215.0,101650.0
20181113:0600,8.94,92.45,0.0,-0.0,0.0,276.35,5.03,216.0,101670.0
20181113:0700,8.8,89.1,0.0,0.0,0.0,275.95,5.24,213.0,101800.0
20181113:0800,9.11,85.95,16.0,0.0,16.0,278.3,5.52,217.0,101870.0
20181113:0900,10.01,79.95,73.0,0.0,73.0,283.5,5.86,224.0,101940.0
20181113:1000,10.92,80.05,313.0,763.14,66.0,283.9,5.38,223.0,102020.0
20181113:1100,11.85,74.55,331.0,685.22,88.0,290.3,7.24,236.0,102080.0
20181113:1200,12.39,71.95,317.0,652.01,92.0,299.95,6.55,238.0,102100.0
20181113:1300,12.75,69.45,257.0,571.57,88.0,311.75,6.62,243.0,102120.0
20181113:1400,12.98,67.05,89.0,33.37,82.0,315.45,5.52,242.0,102210.0
20181113:1500,12.6,69.45,46.0,117.99,35.0,318.35,4.69,240.0,102290.0
20181113:1600,11.68,74.55,0.0,-0.0,0.0,300.75,4.07,236.0,102370.0
20181113:1700,10.84,80.05,0.0,-0.0,0.0,290.5,3.72,230.0,102430.0
20181113:1800,10.31,82.95,0.0,-0.0,0.0,292.6,3.66,226.0,102480.0
20181113:1900,9.82,89.15,0.0,-0.0,0.0,283.3,3.72,219.0,102550.0
20181113:2000,9.47,89.15,0.0,-0.0,0.0,282.55,3.52,218.0,102580.0
20181113:2100,9.08,89.1,0.0,-0.0,0.0,280.2,3.31,215.0,102620.0
20181113:2200,8.71,92.4,0.0,-0.0,0.0,279.05,3.17,211.0,102620.0
20181113:2300,8.37,92.4,0.0,-0.0,0.0,275.4,3.1,207.0,102630.0
20181114:0000,8.08,89.1,0.0,-0.0,0.0,276.95,2.97,207.0,102640.0
20181114:0100,7.88,92.4,0.0,-0.0,0.0,280.5,2.9,204.0,102640.0
20181114:0200,7.66,89.05,0.0,-0.0,0.0,279.85,2.9,197.0,102620.0
20181114:0300,7.56,89.05,0.0,-0.0,0.0,289.3,2.76,194.0,102590.0
20181114:0400,7.41,92.35,0.0,-0.0,0.0,291.65,2.76,189.0,102560.0
20181114:0500,7.19,92.35,0.0,-0.0,0.0,284.5,2.9,181.0,102540.0
20181114:0600,6.96,89.0,0.0,-0.0,0.0,278.85,2.83,180.0,102500.0
20181114:0700,6.52,92.35,0.0,0.0,0.0,266.65,2.76,179.0,102540.0
20181114:0800,6.81,92.35,109.0,415.28,48.0,265.1,2.76,176.0,102560.0
20181114:0900,8.21,89.1,208.0,504.26,82.0,274.8,2.83,173.0,102560.0
20181114:1000,9.92,89.15,284.0,595.15,94.0,275.4,3.03,173.0,102520.0
20181114:1100,11.29,83.05,286.0,425.37,137.0,281.2,2.9,172.0,102530.0
20181114:1200,12.3,80.2,243.0,258.16,155.0,293.95,2.76,169.0,102490.0
20181114:1300,12.8,77.45,237.0,449.16,106.0,291.25,2.69,162.0,102440.0
20181114:1400,12.88,77.45,143.0,286.44,84.0,292.6,2.69,154.0,102390.0
20181114:1500,12.17,80.2,61.0,379.09,27.0,288.15,2.48,146.0,102370.0
20181114:1600,10.85,86.05,0.0,-0.0,0.0,289.5,2.69,142.0,102340.0
20181114:1700,9.75,85.95,0.0,-0.0,0.0,279.65,2.69,142.0,102330.0
20181114:1800,9.04,85.95,0.0,-0.0,0.0,282.35,2.69,144.0,102310.0
20181114:1900,7.89,85.85,0.0,-0.0,0.0,271.3,2.9,153.0,102300.0
20181114:2000,7.42,82.7,0.0,-0.0,0.0,270.75,2.76,157.0,102270.0
20181114:2100,7.09,85.8,0.0,-0.0,0.0,273.05,2.62,156.0,102270.0
20181114:2200,6.83,89.0,0.0,-0.0,0.0,275.0,2.48,151.0,102270.0
20181114:2300,6.53,85.75,0.0,-0.0,0.0,272.1,2.48,148.0,102280.0
20181115:0000,6.32,88.95,0.0,-0.0,0.0,273.65,2.41,146.0,102250.0
20181115:0100,6.13,88.95,0.0,-0.0,0.0,273.75,2.34,145.0,102250.0
20181115:0200,5.96,88.95,0.0,-0.0,0.0,275.2,2.34,144.0,102230.0
20181115:0300,5.82,92.3,0.0,-0.0,0.0,275.2,2.34,145.0,102220.0
20181115:0400,5.67,92.3,0.0,-0.0,0.0,275.0,2.34,145.0,102190.0
20181115:0500,5.55,92.3,0.0,-0.0,0.0,274.6,2.41,144.0,102200.0
20181115:0600,5.42,88.9,0.0,-0.0,0.0,274.2,2.41,144.0,102200.0
20181115:0700,5.36,92.25,0.0,0.0,0.0,272.65,2.55,156.0,102230.0
20181115:0800,5.87,92.3,108.0,448.85,44.0,274.6,2.41,154.0,102260.0
20181115:0900,7.44,85.85,219.0,639.48,62.0,281.4,2.21,153.0,102270.0
20181115:1000,9.23,82.85,293.0,692.29,75.0,277.7,2.48,154.0,102270.0
20181115:1100,10.75,77.15,326.0,708.07,81.0,278.65,2.41,147.0,102270.0
20181115:1200,11.93,74.55,319.0,721.62,76.0,282.95,2.41,138.0,102220.0
20181115:1300,12.71,72.05,264.0,674.27,70.0,285.25,2.41,131.0,102190.0
20181115:1400,12.92,74.7,139.0,276.84,83.0,287.2,2.34,121.0,102170.0
20181115:1500,12.13,80.2,51.0,243.48,30.0,287.75,2.34,112.0,102160.0
20181115:1600,10.58,83.0,0.0,-0.0,0.0,284.5,2.69,112.0,102150.0
20181115:1700,9.49,89.15,0.0,-0.0,0.0,281.75,2.69,116.0,102170.0
20181115:1800,8.68,92.4,0.0,-0.0,0.0,279.45,2.62,121.0,102190.0
20181115:1900,7.88,92.4,0.0,-0.0,0.0,276.55,2.55,146.0,102210.0
20181115:2000,7.34,92.35,0.0,-0.0,0.0,275.4,2.48,158.0,102240.0
20181115:2100,6.84,92.35,0.0,-0.0,0.0,272.1,2.41,163.0,102270.0
20181115:2200,6.54,92.35,0.0,-0.0,0.0,279.45,2.28,161.0,102290.0
20181115:2300,6.18,92.3,0.0,-0.0,0.0,279.45,2.21,148.0,102300.0
20181116:0000,6.02,92.3,0.0,-0.0,0.0,291.85,2.14,134.0,102310.0
20181116:0100,5.84,95.75,0.0,-0.0,0.0,294.45,2.14,123.0,102320.0
20181116:0200,5.7,92.3,0.0,-0.0,0.0,298.8,2.14,119.0,102360.0
20181116:0300,5.51,92.3,0.0,-0.0,0.0,301.5,2.07,118.0,102360.0
20181116:0400,5.37,92.25,0.0,-0.0,0.0,305.75,2.0,117.0,102370.0
20181116:0500,5.36,92.25,0.0,-0.0,0.0,312.35,1.86,115.0,102400.0
20181116:0600,5.15,88.85,0.0,-0.0,0.0,309.85,1.86,110.0,102420.0
20181116:0700,4.5,92.25,0.0,0.0,0.0,293.0,1.72,121.0,102470.0
20181116:0800,4.82,92.25,49.0,14.46,47.0,295.7,1.59,117.0,102530.0
20181116:0900,6.08,85.7,54.0,0.0,54.0,312.35,1.66,122.0,102570.0
20181116:1000,7.06,82.65,79.0,0.0,79.0,300.35,1.72,123.0,102540.0
20181116:1100,8.27,82.75,78.0,0.0,78.0,302.65,1.79,110.0,102580.0
20181116:1200,9.09,82.85,75.0,0.0,75.0,302.5,1.72,91.0,102540.0
20181116:1300,9.65,79.9,64.0,0.0,64.0,291.85,2.07,79.0,102530.0
20181116:1400,9.78,79.9,35.0,0.0,35.0,293.95,2.48,81.0,102500.0
20181116:1500,9.22,82.85,27.0,24.12,25.0,284.65,2.41,80.0,102510.0
20181116:1600,7.98,82.75,0.0,-0.0,0.0,281.4,2.55,78.0,102490.0
20181116:1700,7.06,82.65,0.0,-0.0,0.0,274.05,2.62,79.0,102520.0
20181116:1800,6.41,82.6,0.0,-0.0,0.0,264.35,2.76,84.0,102510.0
20181116:1900,5.7,88.9,0.0,-0.0,0.0,267.45,2.48,94.0,102540.0
20181116:2000,5.25,88.85,0.0,-0.0,0.0,260.3,2.55,98.0,102560.0
20181116:2100,4.76,88.85,0.0,-0.0,0.0,257.2,2.55,100.0,102590.0
20181116:2200,4.24,88.8,0.0,-0.0,0.0,251.4,2.62,102.0,102630.0
20181116:2300,3.68,85.45,0.0,-0.0,0.0,246.95,2.55,100.0,102620.0
20181117:0000,3.2,88.7,0.0,-0.0,0.0,243.65,2.62,94.0,102620.0
20181117:0100,2.87,92.15,0.0,-0.0,0.0,242.4,2.69,89.0,102610.0
20181117:0200,2.72,88.65,0.0,-0.0,0.0,242.3,2.83,86.0,102630.0
20181117:0300,2.66,88.65,0.0,-0.0,0.0,242.65,2.9,81.0,102620.0
20181117:0400,2.6,88.65,0.0,-0.0,0.0,243.05,3.03,77.0,102610.0
20181117:0500,2.57,88.65,0.0,-0.0,0.0,242.1,3.24,78.0,102630.0
20181117:0600,2.5,88.65,0.0,-0.0,0.0,241.3,3.45,80.0,102620.0
20181117:0700,2.32,92.1,0.0,0.0,0.0,242.3,3.45,85.0,102670.0
20181117:0800,2.73,92.15,102.0,447.26,42.0,241.7,3.66,88.0,102690.0
20181117:0900,4.1,82.3,217.0,666.73,59.0,242.65,3.38,87.0,102730.0
20181117:1000,5.65,76.5,292.0,717.99,72.0,244.6,4.07,88.0,102740.0
20181117:1100,7.06,68.5,326.0,734.35,78.0,246.95,4.34,86.0,102760.0
20181117:1200,8.18,63.7,319.0,745.24,74.0,249.45,4.48,84.0,102720.0
20181117:1300,8.89,63.7,265.0,710.36,66.0,251.75,4.55,82.0,102700.0
20181117:1400,8.98,61.45,136.0,286.9,80.0,253.15,4.34,78.0,102670.0
20181117:1500,8.46,61.3,46.0,213.33,29.0,252.95,4.34,78.0,102650.0
20181117:1600,7.46,63.6,0.0,-0.0,0.0,251.75,4.34,74.0,102650.0
20181117:1700,6.78,68.4,0.0,-0.0,0.0,249.85,4.41,74.0,102660.0
20181117:1800,6.3,68.3,0.0,-0.0,0.0,248.85,4.41,75.0,102680.0
20181117:1900,6.08,63.25,0.0,-0.0,0.0,246.95,4.62,78.0,102670.0
20181117:2000,5.51,63.15,0.0,-0.0,0.0,242.85,4.48,79.0,102680.0
20181117:2100,4.88,65.4,0.0,-0.0,0.0,238.6,4.41,78.0,102700.0
20181117:2200,4.35,65.3,0.0,-0.0,0.0,236.1,4.34,79.0,102770.0
20181117:2300,3.86,65.2,0.0,-0.0,0.0,236.1,4.07,81.0,102730.0
20181118:0000,3.4,65.2,0.0,-0.0,0.0,237.65,3.72,80.0,102720.0
20181118:0100,2.96,67.7,0.0,-0.0,0.0,238.55,3.59,76.0,102720.0
20181118:0200,2.65,73.1,0.0,-0.0,0.0,239.0,3.72,74.0,102750.0
20181118:0300,2.44,73.1,0.0,-0.0,0.0,238.6,3.93,73.0,102750.0
20181118:0400,2.26,75.95,0.0,-0.0,0.0,238.6,3.86,74.0,102750.0
20181118:0500,2.0,75.95,0.0,-0.0,0.0,238.2,3.72,72.0,102730.0
20181118:0600,1.67,78.9,0.0,-0.0,0.0,237.25,3.52,68.0,102710.0
20181118:0700,1.22,81.95,0.0,0.0,0.0,235.3,3.86,69.0,102700.0
20181118:0800,1.42,78.9,98.0,438.39,41.0,235.15,3.86,69.0,102720.0
20181118:0900,2.46,73.1,211.0,652.89,59.0,236.3,3.59,66.0,102680.0
20181118:1000,3.83,67.8,287.0,714.57,71.0,238.8,4.14,66.0,102690.0
20181118:1100,5.05,60.65,322.0,731.23,78.0,240.55,4.21,65.0,102660.0
20181118:1200,5.88,58.45,311.0,723.32,76.0,243.45,4.28,62.0,102590.0
20181118:1300,6.29,56.3,185.0,209.77,127.0,244.6,4.41,59.0,102570.0
20181118:1400,6.18,56.3,132.0,276.33,79.0,244.4,3.93,56.0,102530.0
20181118:1500,5.52,58.45,41.0,169.79,28.0,245.6,3.93,55.0,102500.0
20181118:1600,4.46,58.2,0.0,-0.0,0.0,243.25,4.14,56.0,102480.0
20181118:1700,3.78,55.7,0.0,-0.0,0.0,241.5,4.41,57.0,102470.0
20181118:1800,3.31,55.55,0.0,-0.0,0.0,242.65,4.55,59.0,102440.0
20181118:1900,2.92,51.3,0.0,-0.0,0.0,239.6,4.48,58.0,102340.0
20181118:2000,2.39,51.15,0.0,-0.0,0.0,236.1,4.76,57.0,102340.0
20181118:2100,1.94,55.3,0.0,-0.0,0.0,234.95,4.9,58.0,102340.0
20181118:2200,1.8,64.8,0.0,-0.0,0.0,242.5,5.03,60.0,102350.0
20181118:2300,1.91,73.0,0.0,-0.0,0.0,248.3,4.97,64.0,102320.0
20181119:0000,2.24,82.05,0.0,-0.0,0.0,260.1,4.83,66.0,102270.0
20181119:0100,2.76,88.65,0.0,-0.0,0.0,277.8,4.69,65.0,102210.0
