time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080112:1600,5.22,76.4,0.0,-0.0,0.0,258.15,2.97,224.0,100950.0
20080112:1700,4.59,79.3,0.0,-0.0,0.0,263.2,2.83,203.0,101010.0
20080112:1800,4.5,79.3,0.0,-0.0,0.0,268.2,3.31,201.0,101080.0
20080112:1900,5.04,79.35,0.0,-0.0,0.0,268.05,3.79,211.0,101140.0
20080112:2000,5.15,82.4,0.0,-0.0,0.0,270.15,4.0,214.0,101190.0
20080112:2100,4.78,85.55,0.0,-0.0,0.0,254.65,3.93,211.0,101210.0
20080112:2200,4.6,85.55,0.0,-0.0,0.0,258.95,4.07,206.0,101220.0
20080112:2300,4.42,85.55,0.0,-0.0,0.0,256.2,4.14,202.0,101250.0
20080113:0000,4.25,88.8,0.0,-0.0,0.0,257.4,4.28,196.0,101240.0
20080113:0100,4.11,85.5,0.0,-0.0,0.0,258.65,4.41,193.0,101230.0
20080113:0200,3.82,85.5,0.0,-0.0,0.0,251.2,4.48,187.0,101200.0
20080113:0300,3.69,88.75,0.0,-0.0,0.0,252.75,4.55,185.0,101190.0
20080113:0400,4.23,85.5,0.0,-0.0,0.0,292.8,4.76,185.0,101130.0
20080113:0500,5.12,79.35,0.0,-0.0,0.0,331.7,4.97,186.0,101120.0
20080113:0600,5.67,79.4,0.0,-0.0,0.0,335.4,5.03,188.0,101120.0
20080113:0700,6.13,79.5,0.0,-0.0,0.0,339.05,5.1,188.0,101180.0
20080113:0800,6.4,76.65,9.0,0.0,9.0,337.5,5.1,188.0,101200.0
20080113:0900,6.67,79.55,69.0,43.43,62.0,333.65,5.03,190.0,101220.0
20080113:1000,6.98,79.55,112.0,45.3,101.0,330.55,4.97,191.0,101230.0
20080113:1100,7.42,79.65,70.0,0.0,70.0,309.65,4.69,184.0,101190.0
20080113:1200,7.94,76.8,80.0,0.0,80.0,312.55,5.38,185.0,101140.0
20080113:1300,8.24,76.8,129.0,64.91,112.0,310.8,5.45,186.0,101050.0
20080113:1400,8.29,76.8,96.0,83.54,80.0,300.35,4.83,180.0,101020.0
20080113:1500,7.92,73.95,53.0,293.3,27.0,287.95,4.41,174.0,100970.0
20080113:1600,6.94,76.65,0.0,-0.0,0.0,273.05,4.07,168.0,100920.0
20080113:1700,5.99,73.7,0.0,-0.0,0.0,261.05,4.21,159.0,100880.0
20080113:1800,5.29,70.8,0.0,-0.0,0.0,257.0,4.69,154.0,100830.0
20080113:1900,4.8,62.95,0.0,-0.0,0.0,250.05,4.9,151.0,100760.0
