Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3650E+03 .1048E+01 .2405E+00 .2093E+00 .2120E+00 .1369E+00 .3489E+00
.3655E+03 .1313E+01 .3034E+00 .2619E+00 .2674E+00 .1715E+00 .4389E+00
.3660E+03 .1388E+01 .3231E+00 .2768E+00 .2848E+00 .1813E+00 .4661E+00
.3665E+03 .1301E+01 .3052E+00 .2594E+00 .2690E+00 .1700E+00 .4390E+00
.3670E+03 .1265E+01 .2987E+00 .2519E+00 .2633E+00 .1652E+00 .4285E+00
.3675E+03 .1311E+01 .3115E+00 .2607E+00 .2745E+00 .1711E+00 .4457E+00
.3680E+03 .1145E+01 .2739E+00 .2276E+00 .2414E+00 .1495E+00 .3909E+00
.3685E+03 .1153E+01 .2778E+00 .2290E+00 .2448E+00 .1505E+00 .3953E+00
.3690E+03 .1243E+01 .3014E+00 .2467E+00 .2657E+00 .1622E+00 .4279E+00
.3695E+03 .1323E+01 .3229E+00 .2622E+00 .2846E+00 .1726E+00 .4571E+00
.3700E+03 .1408E+01 .3458E+00 .2788E+00 .3048E+00 .1836E+00 .4884E+00
.3705E+03 .1091E+01 .2697E+00 .2158E+00 .2377E+00 .1422E+00 .3800E+00
.3710E+03 .1163E+01 .2896E+00 .2300E+00 .2552E+00 .1517E+00 .4069E+00
.3715E+03 .1454E+01 .3640E+00 .2870E+00 .3208E+00 .1894E+00 .5102E+00
.3720E+03 .9641E+00 .2427E+00 .1900E+00 .2139E+00 .1254E+00 .3393E+00
.3725E+03 .1154E+01 .2923E+00 .2272E+00 .2577E+00 .1501E+00 .4078E+00
.3730E+03 .1172E+01 .2988E+00 .2305E+00 .2633E+00 .1524E+00 .4157E+00
.3735E+03 .7609E+00 .1953E+00 .1496E+00 .1721E+00 .9897E-01 .2711E+00
.3740E+03 .1104E+01 .2850E+00 .2168E+00 .2512E+00 .1435E+00 .3948E+00
.3745E+03 .9127E+00 .2372E+00 .1791E+00 .2090E+00 .1186E+00 .3277E+00
.3750E+03 .8862E+00 .2316E+00 .1736E+00 .2041E+00 .1151E+00 .3192E+00
.3755E+03 .1322E+01 .3472E+00 .2585E+00 .3060E+00 .1715E+00 .4775E+00
.3760E+03 .1095E+01 .2891E+00 .2137E+00 .2548E+00 .1419E+00 .3967E+00
.3765E+03 .1134E+01 .3008E+00 .2209E+00 .2652E+00 .1467E+00 .4119E+00
.3770E+03 .1198E+01 .3199E+00 .2333E+00 .2820E+00 .1551E+00 .4371E+00
.3775E+03 .1400E+01 .3759E+00 .2722E+00 .3313E+00 .1811E+00 .5124E+00
.3780E+03 .1517E+01 .4092E+00 .2943E+00 .3606E+00 .1959E+00 .5565E+00
.3785E+03 .1433E+01 .3884E+00 .2775E+00 .3423E+00 .1848E+00 .5272E+00
.3790E+03 .1182E+01 .3219E+00 .2285E+00 .2837E+00 .1523E+00 .4360E+00
.3795E+03 .1080E+01 .2953E+00 .2082E+00 .2602E+00 .1388E+00 .3991E+00
.3800E+03 .1122E+01 .3083E+00 .2159E+00 .2717E+00 .1441E+00 .4158E+00
.3805E+03 .1356E+01 .3751E+00 .2609E+00 .3306E+00 .1742E+00 .5049E+00
.3810E+03 .1356E+01 .3776E+00 .2608E+00 .3328E+00 .1743E+00 .5071E+00
.3815E+03 .1072E+01 .3007E+00 .2063E+00 .2650E+00 .1380E+00 .4030E+00
.3820E+03 .9504E+00 .2682E+00 .1828E+00 .2364E+00 .1223E+00 .3588E+00
.3825E+03 .8083E+00 .2297E+00 .1555E+00 .2024E+00 .1041E+00 .3066E+00
.3830E+03 .7470E+00 .2136E+00 .1436E+00 .1882E+00 .9624E-01 .2845E+00
