angle,date,hour,power
38,2024-05-10,14,179.2406358118742
38,2024-05-10,15,109.57841902793314
38,2024-05-10,16,48.17794269049454
38,2024-05-10,17,18.906970104065802
38,2024-05-10,18,2.526861079348803
38,2024-05-10,19,0.0
38,2024-05-10,20,0.0
38,2024-05-10,21,0.0
38,2024-05-11,6,78.1369569684885
38,2024-05-11,7,113.32076970852664
38,2024-05-11,8,258.60435313041665
38,2024-05-11,9,281.87188690506713
38,2024-05-11,10,295.0580714244429
38,2024-05-11,11,134.24748958588805
38,2024-05-11,12,138.8598433571688
38,2024-05-11,13,46.75336045239583
38,2024-05-11,14,122.58871394632587
38,2024-05-11,15,138.79043060277078
38,2024-05-11,16,65.16895162468938
38,2024-05-11,17,26.152425064877164
38,2024-05-11,18,5.189168853064579
38,2024-05-11,19,0.0
38,2024-05-11,20,0.0
38,2024-05-11,21,0.0
38,2024-05-12,6,132.73837687048484
38,2024-05-12,7,139.18494580175184
38,2024-05-12,8,176.3067302026284
38,2024-05-12,9,194.8340481997447
38,2024-05-12,10,170.9892085337826
38,2024-05-12,11,97.41329686722324
38,2024-05-12,12,43.793537354817104
38,2024-05-12,13,41.06340874298376
38,2024-05-12,14,48.74939293268743
38,2024-05-12,15,56.17344915010133
38,2024-05-12,16,14.85597021818502
38,2024-05-12,17,4.916745150322548
38,2024-05-12,18,3.7803227241912207
38,2024-05-12,19,0.0
38,2024-05-12,20,0.0
38,2024-05-12,21,0.0
38,2024-05-13,6,200.09916348865178
38,2024-05-13,7,302.0599852250541
38,2024-05-13,8,343.5203542565696
38,2024-05-13,9,326.492840415676
38,2024-05-13,10,346.42841505489235
38,2024-05-13,11,131.08164674338371
38,2024-05-13,12,280.51605822861706
38,2024-05-13,13,183.8049338019457
38,2024-05-13,14,119.68448091063055
38,2024-05-13,15,33.29516760686609
38,2024-05-13,16,30.577419894326685
38,2024-05-13,17,7.550612876384705
38,2024-05-13,18,1.9905703104403822
38,2024-05-13,19,0.0
38,2024-05-13,20,0.0
38,2024-05-13,21,0.0
38,2024-05-14,6,68.57836154968018
38,2024-05-14,7,224.00574720602756
38,2024-05-14,8,242.94718103697548
38,2024-05-14,9,300.00786591604043
38,2024-05-14,10,142.35391121560582
38,2024-05-14,11,95.69146763887086
38,2024-05-14,12,140.5100100036886
38,2024-05-14,13,178.45693390910105
38,2024-05-14,14,62.91249243094739
38,2024-05-14,15,65.75403870761133
38,2024-05-14,16,11.221072187082573
38,2024-05-14,17,3.014586343302753
38,2024-05-14,18,0.9185939939601917
38,2024-05-14,19,0.0
38,2024-05-14,20,0.0
38,2024-05-14,21,0.0
38,2024-05-15,6,74.92796894379129
38,2024-05-15,7,47.205734742534155
38,2024-05-15,8,158.70464160853362
38,2024-05-15,9,183.50800249493443
38,2024-05-15,10,201.42942601729823
38,2024-05-15,11,88.64415548425814
38,2024-05-15,12,131.06850686119316
38,2024-05-15,13,49.925903125689295
38,2024-05-15,14,29.886990550288616
38,2024-05-15,15,33.2776442026959
38,2024-05-15,16,12.836226197779876
38,2024-05-15,17,3.876327544492343
38,2024-05-15,18,1.1808493706138585
38,2024-05-15,19,0.0
38,2024-05-15,20,0.0
38,2024-05-15,21,0.0
38,2024-05-16,6,246.24072647769378
38,2024-05-16,7,327.8521296736167
38,2024-05-16,8,234.22249272097096
38,2024-05-16,9,145.05496511055114
38,2024-05-16,10,81.3571593300554
38,2024-05-16,11,149.10951981115977
38,2024-05-16,12,132.66713459475076
38,2024-05-16,13,41.97635056624422
38,2024-05-16,14,109.95408071016075
38,2024-05-16,15,158.20721716277185
38,2024-05-16,16,57.87742432362042
38,2024-05-16,17,19.72808529301494
38,2024-05-16,18,5.895280974665587
38,2024-05-16,19,0.0
38,2024-05-16,20,0.0
38,2024-05-16,21,0.0
38,2024-05-17,6,99.78884336887108
38,2024-05-17,7,103.93564768929004
38,2024-05-17,8,103.77150511815375
38,2024-05-17,9,153.541859229303
38,2024-05-17,10,100.80870867537872
38,2024-05-17,11,87.86990823361825
38,2024-05-17,12,192.88386105706925
38,2024-05-17,13,119.69758526137193
38,2024-05-17,14,105.09657119054722
38,2024-05-17,15,81.02792459034265
38,2024-05-17,16,53.67265119261497
38,2024-05-17,17,9.687217870298747
38,2024-05-17,18,6.28162877596023
38,2024-05-17,19,0.0
38,2024-05-17,20,0.0
38,2024-05-17,21,0.0
38,2024-05-18,6,248.30788133004535
38,2024-05-18,7,334.57240547286835
38,2024-05-18,8,195.05435035345158
38,2024-05-18,9,267.646418688344
38,2024-05-18,10,315.330743209132
38,2024-05-18,11,254.75153699884441
38,2024-05-18,12,265.8678352823903
38,2024-05-18,13,65.72005499120462
38,2024-05-18,14,88.24705452884683
38,2024-05-18,15,52.228914708839746
38,2024-05-18,16,23.954056345023886
38,2024-05-18,17,37.72274348437919
38,2024-05-18,18,3.437748699266166
38,2024-05-18,19,0.09621145950779575
38,2024-05-18,20,0.0
38,2024-05-18,21,0.0
38,2024-05-19,6,197.2458790719627
38,2024-05-19,7,276.0313427394555
38,2024-05-19,8,273.7525867442695
38,2024-05-19,9,276.7359524257642
38,2024-05-19,10,299.8983006380505
38,2024-05-19,11,205.44187499978017
38,2024-05-19,12,78.84555332663432
38,2024-05-19,13,198.42625219943326
38,2024-05-19,14,134.00967172523318
38,2024-05-19,15,53.87020578316998
38,2024-05-19,16,31.530956672032815
38,2024-05-19,17,33.735044237039574
38,2024-05-19,18,5.879995297538508
38,2024-05-19,19,0.09127704340999078
38,2024-05-19,20,0.0
38,2024-05-19,21,0.0
38,2024-05-20,6,148.78610920748653
38,2024-05-20,7,300.1165266516607
38,2024-05-20,8,342.5261239449741
38,2024-05-20,9,313.53942897608624
38,2024-05-20,10,250.71876274700244
38,2024-05-20,11,233.0581965826632
38,2024-05-20,12,175.88717538804303
38,2024-05-20,13,133.73725445836874
38,2024-05-20,14,136.29381856387732
38,2024-05-20,15,77.98064354841796
38,2024-05-20,16,43.14565988860284
38,2024-05-20,17,17.304475351286907
38,2024-05-20,18,5.442248098926121
38,2024-05-20,19,0.0902358270779722
38,2024-05-20,20,0.0
38,2024-05-20,21,0.0
38,2024-05-21,6,192.62435401720185
38,2024-05-21,7,268.5487964953347
38,2024-05-21,8,239.93668248070475
38,2024-05-21,9,316.7285386282862
38,2024-05-21,10,275.17401677811694
38,2024-05-21,11,224.64064485877188
38,2024-05-21,12,213.29643640994644
38,2024-05-21,13,87.27302513449493
38,2024-05-21,14,142.81481514581398
38,2024-05-21,15,77.14194675996045
38,2024-05-21,16,103.57829057380324
38,2024-05-21,17,38.60897074399037
38,2024-05-21,18,6.554828948446644
38,2024-05-21,19,0.6744193678415203
38,2024-05-21,20,0.0
38,2024-05-21,21,0.0
38,2024-05-22,6,364.02019397394383
38,2024-05-22,7,364.3943973584643
38,2024-05-22,8,341.70652121035397
38,2024-05-22,9,319.1641968134677
38,2024-05-22,10,239.90785538558563
38,2024-05-22,11,252.88142524611996
38,2024-05-22,12,247.02329132975356
38,2024-05-22,13,193.6336139122724
38,2024-05-22,14,176.98691544954482
38,2024-05-22,15,130.477650837599
38,2024-05-22,16,101.44818377933615
38,2024-05-22,17,36.75506064145888
38,2024-05-22,18,5.424490049980127
38,2024-05-22,19,0.7842573557685507
38,2024-05-22,20,0.0
38,2024-05-22,21,0.0
38,2024-05-23,6,282.16054148407136
38,2024-05-23,7,362.22814276415215
38,2024-05-23,8,375.516191410502
38,2024-05-23,9,368.167006933722
38,2024-05-23,10,366.4097844737546
38,2024-05-23,11,350.71352745756127
38,2024-05-23,12,313.7956801769635
38,2024-05-23,13,182.8450298330265
38,2024-05-23,14,179.58842385948404
38,2024-05-23,15,60.61270243080046
38,2024-05-23,16,6.587417275260506
38,2024-05-23,17,6.638120362532331
38,2024-05-23,18,1.1403904105149736
38,2024-05-23,19,0.8215869232248196
38,2024-05-23,20,0.0
38,2024-05-23,21,0.0
38,2024-05-24,6,238.20508193958284
38,2024-05-24,7,340.1759001398751
38,2024-05-24,8,362.371591096257
38,2024-05-24,9,358.8666841345527
38,2024-05-24,10,359.73846144266696
38,2024-05-24,11,344.9127189843192
38,2024-05-24,12,302.38691570015703
38,2024-05-24,13,187.08543006516757
38,2024-05-24,14,224.7697310505131
38,2024-05-24,15,153.55400447103912
38,2024-05-24,16,98.28482741599656
38,2024-05-24,17,37.884064138145845
38,2024-05-24,18,6.512377574950866
38,2024-05-24,19,0.8405577167083754
38,2024-05-24,20,0.0
38,2024-05-24,21,0.0
38,2024-05-25,6,223.76149690294878
38,2024-05-25,7,317.94554852228185
38,2024-05-25,8,203.92525623731606
38,2024-05-25,9,310.3595973071293
38,2024-05-25,10,308.55704442255944
38,2024-05-25,11,270.2407713925695
38,2024-05-25,12,55.92194274832067
